quote_count,name,created,text,user_screen_name,hashtags,retweet_count,tweet_id,reply_count,_id,link_to_count,favorite_count
0,मिथुन सुबोध त्यागी,2018-12-15 05:26:13,@ashokgehlot51 जी को राजस्थान का मुख्यमंत्री एवं @SachinPilot जी को उपमुख्यमंत्री बनाये जाने पर समस्त प्रदेशवासियों… https://t.co/hQSBIC4dHI,MITHUNTYAG,[],0,1073811442648956928,0,5c14907f71cf940dc1d127cc,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Neeraj Saini INC,2018-12-15 05:26:14,RT @News18Rajasthan: तीसरी बार राजस्थान के मुख्यमंत्री बनने जा रहे अशोक गहलोत का एक वीडियो सोशल मीडिया पर वायरल हो रहा है. इसमें वह खुद को…,NeerajSaini_INC,[],0,1073811450802696192,0,5c14908171cf940dc1d127ce,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Aslam Raza,2018-12-15 05:26:15,RT @ashokgehlot51: मैं और मेरे साथी सचिन पायलट जी और तमाम जो हमारे मंत्रीमंडल के साथी बनेंगे हम सब मिलकर राहुल गांधी जी की भावना के अनुरूप…,aslamraza3535,[],0,1073811451200995328,0,5c14908171cf940dc1d127d0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Kishan lal Sinwar,2018-12-15 05:26:15,RT @RahulGandhi: The united colours of Rajasthan! https://t.co/D1mjKaaBsa,KSinwar,[],0,1073811451456847872,0,5c14908271cf940dc1d127d2,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,SANKALP NEWS,2018-12-15 05:26:23,"राजस्थान: सचिन पायलट से ज्यादा कमाती हैं पत्नी सारा, करती हैं ये काम https://t.co/0rov6k73Sz",sankalpnewsin,[],0,1073811485384675330,0,5c14908971cf940dc1d127d4,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0
0,ANUPAMशर्मा अधिवक्ता,2018-12-15 05:26:25,"RT @NaIna0806: This Jain Munni is seething with anger on Virat Hindus, NOTA advocates over the losses in MP, Rajasthan, Chattisgarh Electio…",AnupamSharmaAdv,[],0,1073811493005586432,0,5c14908b71cf940dc1d127d6,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,The Birdhouse,2018-12-15 05:26:25,RT @mjakbar: Someone asked a good question. If experience is essential in Rajasthan and MP why is it not necessary for Congress President j…,birdhouse_the,[],0,1073811493664292864,0,5c14908c71cf940dc1d127d8,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
0,Panzer Leader,2018-12-15 05:27:53,Inspector general discovers that Team Mueller scrubbed Strzok and Page text messages during critical post-election… https://t.co/AiJkBQ0pYV,ArmorCavSpin,[],0,1073811861978546176,0,5c1490e371cf940dc1d127da,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0
0,N E V,2018-12-15 05:27:53,"RT @robreiner: With the blizzard of criminality swirling around Trump, it’s easy to lose sight of the original sin. And the complete pictur…",NEVmomof3,[],0,1073811862905532416,0,5c1490e371cf940dc1d127dc,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
0,#DavaFoxx,2018-12-15 05:27:54,RT @DavaFoxx: Agree! Please explain @FSCArmy @FSCPASS! https://t.co/eBOKLmNWZW,TheDavaFoxx,[],0,1073811868433543168,0,5c1490e571cf940dc1d127de,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
0,Proud Hindu,2018-12-15 05:27:54,"@moronhumor Even after a brute majority in LS, @narendramodi or @BJP4India or @AmitShah cannot rein in a 44 seat pa… https://t.co/9VeUZKxseA",Sam4delhi,[],0,1073811868425314307,0,5c1490e571cf940dc1d127e0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
0,AD,2018-12-15 05:27:54,"RT @KunderVijay: #BharatTrustsModi BJP wins any elctn: Election Commission is Corrupt

Robert Vadra's Case: ED/CBI is corrupt

Surgical str…",followmeabhi,"[{u'indices': [17, 34], u'text': u'BharatTrustsModi'}]",0,1073811869687783425,0,5c1490e571cf940dc1d127e2,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Dr. No 🧠,2018-12-15 05:27:55,"@DevinNunes - Mueller’s got you on #obstruction, you know that right?",SethN12,"[{u'indices': [35, 47], u'text': u'obstruction'}]",0,1073811870585421824,0,5c1490e571cf940dc1d127e4,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
0,Cathie Blanchfield,2018-12-15 05:27:55,"@SeanBradbery It is certainly going to be ugly, and dispiriting. Can’t wait for the election but dread it too. Hope… https://t.co/H6O5qDaeI0",lamlash63,[],0,1073811874293010432,0,5c1490e671cf940dc1d127e6,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
0,RKR Pillai,2018-12-15 05:27:56,"RT @Suparna_Singh: Thank you for trusting us. For election results, NDTV had by far the most traffic. India counts on NDTV. 😊😊 https://t.co…",rkrpillai,[],0,1073811875224113153,0,5c1490e671cf940dc1d127e8,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Mia,2018-12-15 05:27:56,RT @MetroManTO: @SethAbramson Hands up for anybody who thinks Walker would have limited his own powers had he won re-election... *crickets*.,MomentswithMia2,[],0,1073811878160318464,0,5c1490e771cf940dc1d127ea,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Dr. Nnodi Modestine Eze,2018-12-15 05:27:56,@UcheSecondus @officialEFCC @PoliceNG ANY IGBO and ANY CHRISTIAN that will VOTE for APC in 2019 Presidential Election is a SLAVE.,NnodiEze,[],0,1073811878269382656,0,5c1490e771cf940dc1d127ec,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Pam Bjorlo,2018-12-15 05:27:58,RT @MSignorile: Let's not even go here. Clinton lied about a private sexual matter. Trump lied about directing large sums money to silence…,pjbjorlo,[],0,1073811884367900672,0,5c1490e971cf940dc1d127ee,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Kris Mydler,2018-12-15 05:28:00,"RT @robreiner: With the blizzard of criminality swirling around Trump, it’s easy to lose sight of the original sin. And the complete pictur…",KrisMydler,[],0,1073811891611287552,0,5c1490ea71cf940dc1d127f0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",0
0,L.E. Harding,2018-12-15 05:28:00,"RT @keithboykin: The GOP in 2018:
FL: Block campus voting
GA: Purge thousands of voters
KS: Close precincts in Hispanic areas
MI: Strip pow…",gloloh,[],0,1073811893158961152,0,5c1490eb71cf940dc1d127f2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
0,Ellie,2018-12-15 05:28:00,RT @msrose2343: Because Scott Morrison is a Christian extremist who thinks the world is going to end. &amp; it’s an attempt to save face over h…,elliemail,[],0,1073811894085939200,0,5c1490eb71cf940dc1d127f4,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0
0,Anil,2018-12-15 05:28:00,"2019 election should be faced by the people of India as 2nd freedom struggle. 
We need to have freedom of expressio… https://t.co/lwYUP0cadd",Anil07196846,[],0,1073811893750456322,0,5c1490eb71cf940dc1d127f6,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Dan Garland,2018-12-15 05:28:01,"RT @OddsShark: Updated odds to win the 2020 presidential election (@BovadaOfficial):

Trump +150
O'Rourke +1000
Harris +1000
Sanders +1200…",GullyDG,[],0,1073811899144261633,0,5c1490ec71cf940dc1d127f8,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
0,The Marmalade Monster,2018-12-15 05:28:02,"RT @drvox: 11. The longer this goes on, the deeper &amp; more structural the damage &amp; the longer it will take to recover. Meanwhile, we still d…",TheBlueDjin,[],0,1073811899974848512,0,5c1490ec71cf940dc1d127fa,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
0,Elizabeth Also,2018-12-15 05:28:03,RT @MSignorile: Let's not even go here. Clinton lied about a private sexual matter. Trump lied about directing large sums money to silence…,LiddyReads,[],0,1073811904764801024,0,5c1490ee71cf940dc1d127fc,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
0,Cathy Spence,2018-12-15 05:28:03,"RT @JuliaDavisNews: Russian propaganda portrayed Trump’s election victory as Putin’s triumph. However, the “triumph” has been short-lived b…",CathySpence3,[],0,1073811907130392578,0,5c1490ee71cf940dc1d127fe,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
